Grammar,Usage,Reference Example,Original Example,Prefix,Chunk1,Chunk2,Chunk3,Chunk4,Suffix,Explanation
て,で A－くて V－て 名詞とナ形容詞には「で」がつく。イ形容詞では「くて」。「ない」には「なくて」「ないで」の2つの形がある。動詞の場合、辞書形がグ・ヌ・ブ・ムで終るものは「で」、それ以外は「て」となる。,①朝ご飯を作って、子供を起こした。,毎朝六時に起きて、犬の散歩をしてから朝ご飯を食べます。,毎朝六時に,起きて、,犬の散歩を,して,から,朝ご飯を食べます。,Động từ chia ở thể Te liên tiếp 「起きて」 và 「して」 tạo thành chuỗi hành động theo thứ tự thời gian.
て～て,NaでNaで A－くてA－くて VててV－て,①連絡がいつまで待っても来ないので、不安で不安で仕方がなかった。,明日から大好きな友達と旅行なので、楽しみで楽しみで眠れません。,明日から大好きな友達と旅行なので、,楽しみ,で,楽しみで,眠れ,ません。,Tính từ đuôi na 「楽しみ」 lặp lại hai lần kèm trợ từ 「で」 để nhấn mạnh cảm xúc cực độ.
で,で,①≪写真を見せながら≫これが、田中先生の奥さん。で、こっちが息子さんの孝君。,これが頼まれていた人参ね。で、こっちのトマトも買う？,これが頼まれていた人参ね。,で、,こっちの,トマトも,買う,？,Sử dụng 「で」 ở đầu câu để chuyển tiếp chủ đề câu chuyện một cách tự nhiên trong giao tiếp.
で,～で,①彼女は病気で寝ています。,今日は大雨で電車が遅れたから、約束の時間に遅れちゃった。,今日は,大雨,で,電車が,遅れたから、,約束の時間に遅れちゃった。,"Danh từ 「大雨」 đi với trợ từ 「で」 biểu thị nguyên nhân, dẫn đến kết quả tàu trễ."
てあげる,V－てあげる,①おばあさんが横断歩道で困っていたので、手を引いてあげた。,妹の誕生日に、大好きなチョコレートケーキを焼いてあげました。,妹の誕生日に、,大好きな,チョコレートケーキを,焼いて,あげました,。,Động từ thể Te 「焼いて」 kết hợp với 「あげました」 thể hiện hành động làm ơn cho người khác một cách tự nguyện.
てあげる,V－てあげてくれ（ないか）V－てあげてください,①ケーキを作りすぎたので、おばあさんに持っていってあげて下さい。,お母さんは今忙しいから、泣いている赤ちゃんを抱っこしてあげて。,お母さんは今忙しいから、,泣いている,赤ちゃんを,抱っこして,あげて,。,"Động từ thể Te 「抱っこして」 đi với 「あげて」 tạo thành lời yêu cầu, nhờ vả nhẹ nhàng."
てある,V－てある,①テーブルの上には花が飾ってある。,友達が来るから、冷蔵庫に冷たいジュースが冷やしてあります。,友達が来るから、,冷蔵庫に,冷たいジュースが,冷やして,あります,。,Tha động từ thể Te 「冷やして」 kết hợp với 「あります」 thể hiện trạng thái đã được chuẩn bị sẵn và vẫn đang duy trì.
であれ,NであれNであれ,①晴天であれ、雨天であれ、実施計画は変更しない。,肉であれ魚であれ、好き嫌いせずに何でもバランスよく食べなさい。,,肉であれ,魚であれ、,好き嫌いせずに,何でもバランスよく,食べなさい。,Danh từ 「肉」 và 「魚」 đi kèm 「であれ」 tạo thành cấu trúc song hành (cho dù là A hay B thì cũng).
であろうと,Nであろうと、Nであろうと,①雨であろうと、雪であろうと、当日は予定通り行う。,平日であろうと週末であろうと、あの人気のタピオカ店はいつも行列ができている。,,平日であろうと,週末であろうと、,あの人気のタピオカ店は,いつも行列が,できている。,Danh từ 「平日」 và 「週末」 kết hợp với 「であろうと」 thể hiện sự thật không thay đổi bất kể điều kiện nào.
であろうと,であろうとなかろうと,①休日であろうとなかろうと、わたしの仕事には何も関係ない。,雨であろうとなかろうと、毎朝の犬の散歩だけは欠かさずに行きます。,,雨であろうと,なかろうと、,毎朝の犬の散歩だけは,欠かさずに,行きます。,Danh từ 「雨」 kết hợp với 「であろうとなかろうと」 mang nghĩa nhượng bộ tuyệt đối (dù có hay không có cũng không thay đổi).
