Grammar,Usage,Meaning,Reference Example,Original Example,Blanked Example,Correct Answer,Option A,Explanation A,Option B,Explanation B,Option C,Explanation C,Option D,Explanation D,Option E,Explanation E,Option F,Explanation F,Option G,Explanation G,Option H,Explanation H
"いかなる","「いかなる」の後には必ず名詞が来る。かたい書きことばに用いられる。話しことばでは「どんな」となることが多い。いかなるN（＋助詞）も","","①彼はいかなる困難にも負けないほど強い精神力の持ち主だった。","家族の約束だから、いかなる理由があってもドタキャンは許されないよ。","家族の約束だから、___理由があってもドタキャンは許されないよ。","A","いかなる","Đúng. いかなる + N + も/があっても nghĩa là dù có bất kỳ lý do gì đi nữa.","いかに","Sai. いかに là phó từ, bổ nghĩa cho động từ/tính từ, không bổ nghĩa trực tiếp cho danh từ 理由.","いかにも","Sai. いかにも nghĩa là quả thật/biết bao, không bổ nghĩa cho danh từ theo cách này.","どういう","Sai. どういう nghĩa là như thế nào, không mang nghĩa nhấn mạnh bất kể tuyệt đối khi đi kèm V-temo.","どんなに","Sai. どんなに là phó từ chỉ mức độ, không bổ nghĩa cho danh từ.","なに","Sai. なに không kết hợp trực tiếp với danh từ 理由 để tạo nghĩa bất cứ.","いくら","Sai. いくら là phó từ bổ nghĩa cho hành động/tính từ đi với thể ても, không đứng trước danh từ.","どこの","Sai. どこの chỉ nơi chốn, không hợp nghĩa với 理由."
"いかなる","いかなるNでも","","①絵画というのは、いかなる作品でもそこに作者独自の視点が反映されているものだ。","うちの母は料理の天才だから、いかなる食材でも美味しいおかずに変えてしまう。","うちの母は料理の天才だから、___食材でも美味しいおかずに変えてしまう。","A","いかなる","Đúng. いかなる + N + でも nghĩa là bất kể danh từ nào đi nữa.","いかに","Sai. いかに là phó từ, không đứng trước danh từ để bổ nghĩa.","いかにも","Sai. いかにも không bổ nghĩa cho danh từ theo cấu trúc này.","どんなに","Sai. どんなに bổ nghĩa cho tính từ/động từ, không bổ nghĩa danh từ.","いくらの","Sai. いくら không đi với の để bổ nghĩa danh từ theo nghĩa bất kể.","何の","Sai. 何の (なんの) trong câu khẳng định thường mang nghĩa nhấn mạnh phủ định, không hợp với でも ở đây.","どうして","Sai. Từ để hỏi lý do, không hợp ngữ pháp.","それなりの","Sai. それなりの nghĩa là trong mức độ đó/tương xứng, trái ngược với nghĩa bất kỳ của câu."
"いかなる","いかなる～とも いかなるNであろうとも いかなるN＋助詞＋V－ようとも","","①いかなる状況になろうとも、断固として戦い抜く決意だ。","親友の彼が困っているなら、いかなる困難に直面しようとも私は彼を助けるつもりだ。","親友の彼が困っているなら、いかなる困難に直面___私は彼を助けるつもりだ。","A","しようとも","Đúng. いかなる + N + に直面 + V-ou + とも (cho dù có đối mặt với bất kỳ... đi nữa).","するとしても","Sai. としても mang tính giả định cho dù giả sử là, không kết hợp với từ nhấn mạnh いかなる ở đầu câu.","しようともしない","Sai. しようともしない nghĩa là không thèm có ý định làm gì, hoàn toàn sai nghĩa câu.","するために","Sai. Cấu trúc chỉ mục đích, không phù hợp.","したら最後","Sai. したら最後 nghĩa là một khi đã... thì kết cục xấu, không đi với いかなる ở đầu.","するものの","Sai. するものの nghĩa là mặc dù... nhưng, không hợp cấu trúc nhấn mạnh giả định.","しかねない","Sai. しかねない nghĩa là có thể dẫn đến kết quả xấu, sai ngữ pháp.","しそうにない","Sai. しそうにない nghĩa là không có vẻ gì là sẽ làm, sai nghĩa câu."
"いかに","書きことばで用いられる。話しことばでは「どんなに」となることが多い。いかに～か","","①この町がいかに暮らしやすいかは、住んでいる人の表情からもうかがわれる。","初めて一人暮らしをしてみて、実家での生活がいかに快適だったかを痛感した。","初めて一人暮らしをしてみて、実家での生活がいかに快適だった___を痛感した。","A","か","Đúng. いかに + [Thể thông thường] + か kết hợp tạo thành vế câu hỏi danh từ hóa (...đến mức nào).","から","Sai. Từ から chỉ nguyên nhân, không đi với いかに để tạo cụm danh từ làm tân ngữ cho を痛感した.","の","Sai. Trợ từ の dùng để danh từ hóa thông thường, không biểu thị tính chất nghi vấn/mức độ của いかに.","こと","Sai. こと dùng danh từ hóa sự việc, nhưng cấu trúc đi với いかに đòi hỏi phải có đuôi か để trọn nghĩa.","のか","Sai. 快適 là tính từ đuôi na, quá khứ là 快適だった, đi trực tiếp với か chứ không dùng のか trong văn viết trang trọng này.","わけ","Sai. わけ nghĩa là lý do/vốn dĩ, không đi kèm いかに ở cấu trúc này.","だから","Sai. Hoàn toàn sai cấu trúc ngữ pháp liên kết vế câu.","ものか","Sai.  ものか thể hiện sự phủ định mạnh mẽ (làm sao mà... được), sai nghĩa hoàn toàn."
"いかに","đây いかにA－くても いかにV－ても","","①いかに工夫をこらしても、家族は私の料理には何の関心も示さない。","いかに欲しくても、今の給料ではあの高級なブランドバッグは買えない。","いかに___、今の給料ではあの高級なブランドバッグは買えない。","A","欲しくても","Đúng. いかに + A-kutemo (cho dù có muốn đến thế nào đi nữa).","欲しいでも","Sai. Tính từ đuôi i không chia thể nhượng bộ với でも mà phải đổi thành 欲しくても.","欲しいなら","Sai. Cấu trúc điều kiện nếu muốn, không đi với いかに để biểu thị nghĩa nhượng bộ.","欲しがっても","Sai. 欲しがる dùng cho ngôi thứ ba, ở đây đang nói về bản thân người nói.","欲しければ","Sai. Thể điều kiện ば, không hợp nghĩa nhượng bộ cho dù.","欲しいからといって","Sai. Cấu trúc からといって biến đổi vế câu khiến cấu trúc bị lặp hoặc sai mạch liên kết trực tiếp.","欲しくなっても","Sai. 欲しくなる nghĩa là trở nên muốn, không chuẩn xác bằng việc dùng trực tiếp trạng thái 欲しくても.","欲しいものの","Sai. 欲しいものの nghĩa là mặc dù muốn nhưng, không đi với いかに ở đầu câu một cách tự nhiên."
"いかに","いかに～といっても","","①いかに彼が有能だと言っても、こんな難題を一人で処理することは不可能だろう。","いかに大好物だと言っても、毎日毎食カレーばかり食べるのはさすがに飽きる。","いかに大好物だ___、毎日毎食カレーばかり食べるのはさすがに飽きる。","A","と言っても","Đúng. いかに ～ と言っても nghĩa là cho dù nói là... đến mức nào đi nữa.","と言うと","Sai. と言うと dùng để gợi nhớ hoặc định nghĩa (hễ nói đến...), không mang nghĩa nhượng bộ.","と言えば","Sai. と言えば dùng để chuyển chủ đề hoặc đưa ra ví dụ tiêu biểu.","と言っては","Sai. と言っては dùng để phê phán hoặc mào đầu lời chê trách, không hợp ngữ cảnh.","と言うなら","Sai. と言うなら mang nghĩa giả định nếu nói là, không hợp nghĩa nhượng bộ của いかに.","と言ってもらっても","Sai. Chia sang thể nhận được hành động từ người khác, sai chủ ngữ và ý nghĩa câu.","と言わせれば","Sai. Thể sai khiến nếu bắt nói, sai ngữ pháp.","と言うばかりに","Sai. Cấu trúc chỉ nguyên nhân hoặc trạng thái suýt nữa, hoàn toàn sai nghĩa."
"いかに","いかに～とはいえ","","①いかに家賃が高いとはいえ、こんなに環境がいいのなら納得できるのではないか。","いかに仲が良い友達とはいえ、最低限の礼儀やマナーは守るべきだ。","いかに仲が良い友達___、最低限の礼儀やマナーは守るべきだ。","A","とはいえ","Đúng. いかに + N + とはいえ nghĩa là cho dù có nói là... đi chăng nữa.","といったら","Sai. といったら dùng để nhấn mạnh mức độ cảm xúc (nói về... thì cực kỳ), không mang nghĩa nhượng bộ.","といえば","Sai. とえば dùng để liên tưởng, chuyển chủ đề giữa cuộc nói chuyện.","とすると","Sai. とすると mang nghĩa giả định giả sử nếu là, không hợp với ý nghĩa nhượng bộ phản bác vế sau.","なのに","Sai. なのに biểu thị sự bất mãn nghịch lý, nhưng không kết hợp với いかに ở đầu câu như とはいえ.","であっても","Sai. Dù であっても hợp nghĩa nhưng cấu trúc đi với いかに trong mẫu cố định này để chỉ sự nhượng bộ danh từ là とはいえ.","というより","Sai. というより dùng để so sánh đính chính (hơn là nói...), sai nghĩa.","とは限らず","Sai. とは限らず nghĩa là không hẳn là, làm câu mất đi tính liên kết ngữ pháp."
"いかに","いかに～ようと（も） いかに修飾句＋Nであろうと（も） いかにNaであろうと（も） いかにA－かろうと（も） いかにV－ようと（も）","","①いかに便利な機械であろうと、それを使うことによって手で作る喜びが失われてしまうのだとしたら、使う意味はない。","いかに周囲から反対されようとも、私は彼と結婚して幸せになるつもりだ。","いかに周囲から反対___、私は彼と結婚して幸せになるつもりだ。","A","されようとも","Đúng. いかに + Động từ bị động thể ý chí (されよう) + とも nghĩa là cho dù có bị... đến thế nào đi nữa.","されるとしても","Sai. としても mang tính chất giả định thuần túy, không đi kèm sắc thái quyết tâm mạnh mẽ với いかに.","されようとしない","Sai. Thể hiện ý chí của bên thứ ba không muốn làm gì, không đúng cấu trúc nhượng bộ giả định.","されてもみない","Sai. Từ vựng và ngữ pháp cấu tạo vô nghĩa.","されるながら","Sai. Sai cấu trúc ngữ pháp nghiêm trọng với động từ và ながら.","されかねない","Sai. Mang nghĩa có nguy cơ bị..., không tạo sự nhượng bộ với vế sau.","されるものの","Sai.  ものの mang nghĩa mặc dù nhưng không kết hợp với いかに ở đầu câu.","されがちであっても","Sai. がち chỉ xu hướng thường xuyên xảy ra, hoàn toàn sai lệch ý nghĩa nhấn mạnh tuyệt đối của câu."
"いかにも","いかにもNらしい","","①今日はいかにも秋らしい天気だ。","彼女が作ってくれたお弁当は、いかにも手作りらしい優しい味がした。","彼女が作ってくれたお弁当は、いかにも手作り___優しい味がした。","A","らしい","Đúng. いかにも + N + らしい nghĩa là quả đúng nghĩa là/đậm chất N.","みたい","Sai. みたい mang nghĩa so sánh giả định (giống như), trong khi hộp cơm này thực sự là đồ tự làm.","っぽい","Sai. っぽい mang sắc thái cảm tính, thường dùng cho vẻ ngoài giống nhưng bản chất có thể không phải, không hợp với いかにも.","そうな","Sai. いかにも + そうな thường đi với tính từ/động từ thể bỏ ます, không đi trực tiếp danh từ 手作り.","のような","Sai. のような mang tính ví von giả định, không lột tả được hết ý nghĩa đúng chất của いかにも...らしい.","とおりの","Sai. とおり nghĩa là theo như, không đi với いかにも theo cấu trúc này.","ぎみの","Sai. ぎみ chỉ triệu chứng tiêu cực (như mệt mỏi), hoàn toàn sai ngữ cảnh.","だらけの","Sai. だらけ chỉ toàn là những thứ bẩn, xấu (như bùn, lỗi), không dùng ở đây."
"いかにも","いかにも～そうだ いかにもNaそうだ いかにもA－そうだ","","①そのサンマはとれたてで、いかにもおいしそうだった。","デパ地下に並んでいるケーキはどれも、いかにも美味しそうで目移りしてしまう。","デパ地下に並んでいるケーキはどれも、いかにも___で目移りしてしまう。","A","美味しそう","Đúng. いかにも + Tính từ đuôi i bỏ i cộng そう (có vẻ rất...) để diễn tả cảm nhận qua vẻ bề ngoài.","美味しいそう","Sai. Nếu giữ nguyên i (美味しいそう) sẽ thành thể nghe nói (nghe nói là ngon), không đi với いかにも.","美味しいみたい","Sai. みたい mang ý nghĩa phán đoán lý trí, không kết hợp tạo sắc thái trực quan sinh động như そうだ.","美味しいらしい","Sai. らしい dựa trên nguồn thông tin gián tiếp khách quan, không dùng cho việc nhìn trực tiếp bánh trước mắt.","美味しいっぽい","Sai. Văn phong quá suồng sã và không đúng cấu trúc diễn tả vẻ ngoài bắt mắt của đồ ăn.","美味しいそうだ","Sai. Giống câu B, việc giữ nguyên đuôi i biến nó thành thể nghe nói, đồng thời việc xuất hiện だ làm sai ngữ pháp trước で.","美味しげ","Sai. 美味しげ là từ cổ/văn viết trang trọng, không tự nhiên trong câu văn mô tả đời sống đi mua sắm thông thường.","美味しいよう","Sai. よう đòi hỏi cấu trúc khác (美味しいようだ) và biểu thị phán đoán hơn là trực giác trực quan."
