いい,～がいい,,①悪いことばかり覚えて、お前なんか、そのうち警察に捕まるがいいよ。,"宿題をサボってばかりいるなら、明日先生にひどく怒られるがいい。","宿題をサボってばかりいるなら、明日先生にひどく怒られる___。","がいい","ほうがいい","Sai. ほうがいい dùng đưa ra lời khuyên mang tính xây dựng, không hợp với sắc thái mỉa mai/đáng đời.","といい","Sai. Thể hiện nguyện vọng hoặc lời khuyên khách quan, không có tính mỉa mai.","がいい","Đúng. V-れる＋がいい thể hiện sự mỉa mai, đáng đời hoặc phó mặc cho số phận.","たらいい","Sai. Chỉ lời khuyên nhẹ nhàng hoặc ước muốn của bản thân.","ばいい","Sai. Thường mang tính chỉ dẫn giải pháp cho một vấn đề.","にいい","Sai cấu trúc ngữ pháp.","のでいい","Sai cấu trúc ngữ pháp.","からいい","Sai cấu trúc ngữ pháp.",
いう,～という,,①みんなには行くと言ったが、やはり行きたくない。,"妹は買い物に行くという約束をすっかり忘れているようだ。","妹 là 買い物に行く___約束をすっかり忘れているようだ。","という","といった","Sai. Dùng để liệt kê ví dụ (như là).","というの","Sai ngữ pháp khi đứng trước danh từ 約束.","といいて","Sai cấu trúc ngữ pháp.","という","Đúng. ～という＋N dùng để định nghĩa, giải thích nội dung cụ thể của danh từ đó (lời hứa rằng...).","といわれる","Sai nghĩa bị động (được nói là).","とおもう","Sai cấu trúc ngữ pháp.","ときく","Sai cấu trúc ngữ pháp.","とする","Sai cấu trúc ngữ pháp.",
いう,～といっている,,①山下さんはまだ決められないと言っている。,"田中くんが、今日の飲み会には少し遅れて参加すると言っているよ。","田中くんが、今日の飲み会には少し遅れて参加する___言っているよ。","と","を","Sai. Trợ từ を chỉ đối tượng tác động, không dùng trích dẫn nội dung lời nói.","に","Sai. Trợ từ に không dùng trích dẫn lời nói.","が","Sai. Trợ từ が chỉ chủ ngữ trong câu.","で","Sai. Trợ từ で chỉ nơi chốn hoặc phương thức hành động.","と","Đúng. Trợ từ と dùng để trích dẫn nội dung câu nói của người thứ ba đi với 言っている.","から","Sai ý nghĩa trợ từ.","まで","Sai ý nghĩa trợ từ.","より","Sai ý nghĩa trợ từ.",
いう,～といわれている,,①この泉の水を飲めば若返ると言われている。,"毎朝リンゴを食べると、医者いらずになって健康に良いと言われている。","毎朝リンゴを食べると、医者いらずになって健康に良い___。","と言われている","と言っている","Sai. Chỉ một người cụ thể đang nói, không hợp ngữ cảnh chân lý/quan niệm chung.","と話している","Sai nghĩa trò chuyện giữa các đối tượng.","と聞いている","Sai. Nghĩa là bản thân nghe nói rằng, không mang tính khẳng định quan niệm chung rộng rãi.","と思われている","Sai. Nghĩa là được cho là (về mặt suy nghĩ, đánh giá chứ không phải lời nói).","と伝えている","Sai dạng chủ động của hành động truyền đạt.","と言われている","Đúng. ～と言われている dùng để diễn tả một điều được mọi người truyền tai nhau hoặc công nhận rộng rãi.","と見られている","Sai. Nghĩa là được nhìn nhận/đánh giá là dựa trên số liệu/bằng chứng trực quan.","と呼んでいる","Sai nghĩa gọi tên.",
いう,V－る／V－ない ようにいう,,①ここへ来るように言われました。,"妻に、帰りにスーパーで牛乳を買ってくるように言われた。","妻に、帰りにスーパーで牛乳を買ってくる___言われた。","ように","ために","Sai. Chỉ mục đích của hành động, không đi với 言われた để truyền đạt yêu cầu.","とに","Sai cấu trúc ngữ pháp.","そうに","Sai cấu trúc ngữ pháp.","のに","Sai. Chỉ sự tương phản hoặc mục đích sử dụng của đồ vật.","ことを","Sai cấu trúc ngữ pháp.","はずを","Sai cấu trúc ngữ pháp.","ように","Đúng. ～ように言う/言われる dùng để truyền đạt gián tiếp một lời yêu cầu, mệnh lệnh từ người khác.","までに","Sai ý nghĩa ngữ pháp.",
いう,Nをいう,,①おじさんにお礼を言いなさい。,"ご飯をごちそうになったら、ちゃんと「ごちそうさまでした」とお礼を言いましょう。","ご飯をごちそうになったら、ちゃんと「ごちそうさまでした」とお礼を___ましょう。","言い","話し","Sai. 話す là trò chuyện qua lại, không đi với お礼を.","伝え","Sai. 伝える là truyền đạt, kết hợp kém tự nhiên hơn 言う trong cụm từ cố định này.","呼び","Sai nghĩa gọi tên.","聞き","Sai nghĩa nghe.","認め","Sai nghĩa thừa nhận.","叫び","Sai nghĩa hét lên.","言い","Đúng. お礼を言う là một cụm từ cố định có nghĩa là nói lời cảm ơn, bày tỏ sự biết ơn.",
いう,Nを～という,,①彼はその子を妹だと言った。,"彼女は拾ってきた子猫を「サクラ」と名付けて、自分の家族だと言った。","彼女は拾ってきた子猫を「サクラ」と名付けて、自分の家族だ___。","と言った","と言った","Đúng. Nを～と言う dùng để biểu thị việc ai đó khẳng định hoặc tuyên bố N là cái gì đó.","と話した","Sai. 話す dùng cho cuộc hội thoại qua lại, không dùng trích dẫn định nghĩa danh tính trực tiếp này.","と呼んだ","Sai. Nếu dùng 呼ぶ phải là 家族と呼んだ nhưng sắc thái ở đây là khẳng định mối quan hệ chứ không phải gọi tên.","と聞いた","Sai. Nghĩa là đã nghe nói từ ai đó.","と思った","Sai. Nghĩa là đã nghĩ rằng trong đầu.","と伝えた","Sai. Nghĩa là đã truyền đạt thông tin cho người khác.","と教えた","Sai. Nghĩa là đã dạy/chỉ bảo cho ai đó.","と見なした","Sai. Sắc thái quá trang trọng và mang tính phiến diện, không phù hợp văn nói đời sống.",
いう,～という＜伝聞＞,,①彼は卒業後郷里へ帰って母校の教師をしているという。,"近所に新しくできたカフェは、ケーキがすごく美味しいという。","近所に新しくできたカフェは、ケーキがすごく美味しい___。","という","と思う","Sai. Chỉ suy nghĩ chủ quan của bản thân, không mang nghĩa nghe nói.","という","Đúng. ～という ở cuối câu dùng làm mẫu truyền ngôn (nghe nói rằng...) trong văn viết hoặc văn nói trang trọng lịch sự.","と聞く","Sai ngữ pháp khi đứng cuối câu trần thuật trực tiếp không qua biến đổi cấu trúc.","そうだ","Mặc dù そうだ cũng là nghe nói, nhưng mẫu ngữ pháp đang yêu cầu điền cụ thể từ という để hoàn thành cấu trúc.","らしい","Mặc dù らしい là hình như/nghe nói, nhưng không khớp với yêu cầu của mẫu ngữ pháp cụ thể này.","くだろう","Sai cấu trúc ngữ pháp.","とのことだ","Mặc dù đồng nghĩa nghe nói nhưng không khớp từ ngữ của mẫu yêu cầu.","と言っている","Sai vì không rõ chủ thể nói cụ thể là ai, という biến câu thành dạng truyền đạt khách quan.",
いう,NをNという,,①あの人は名前を白山武彦といいます。,"私の家で飼っている犬は、名前をポチといいます。","私の家で飼っている犬は、名前をポチ___。","といいます","と呼びます","Sai. Thường dùng ～と呼んでいます và có cấu trúc sử dụng khác biệt.","と話します","Sai ý nghĩa từ vựng.","といいます","Đúng. 名前を～と言う là cấu trúc chuẩn, phổ biến nhất để giới thiệu tên gọi của người hoặc vật.","と申します","Sai. Đây là khiêm nhường ngữ chỉ dùng cho bản thân khi nói với người bề trên, không dùng cho thú nuôi trong bối cảnh thông thường.","と名付けます","Sai. Nghĩa là đặt tên (hành động đặt tên), không dùng để giới thiệu tên đang có.","と聞きます","Sai ý nghĩa từ vựng.","と思います","Sai ý nghĩa từ vựng.","と言わせます","Sai thể sai khiến.",
いう,N（のこと）をNという,,①A：国連のことを英語ではなんといいますか。B：UnitedNationsといいます。
,"日本語で「台所」のことを、英語では「キッチン」といいます。","日本語で「台所」___ことを、英語では「キッチン」といいます。","の","な","Sai cấu trúc ngữ pháp.","に","Sai cấu trúc ngữ pháp.","を","Sai vì こと phía sau đã đi với を rồi, không thể lặp lại song song cấu trúc này ở đây.","の","Đúng. Cấu trúc Nのこと dùng để chỉ về bản chất, nội dung hoặc toàn bộ sự việc liên quan đến N.","と","Sai cấu trúc ngữ pháp.","で","Sai cấu trúc ngữ pháp.","から","Sai cấu trúc ngữ pháp.","が","Sai cấu trúc ngữ pháp.",
