Grammar,Usage,Meaning,Reference Example,Original Example,Blanked Example,Correct Answer,Option A,Explanation A,Option B,Explanation B,Option C,Explanation C,Option D,Explanation D,Option E,Explanation E,Option F,Explanation F,Option G,Explanation G,Option H,Explanation H
あまり,あまりのN　に／で,,①あまりの驚きに声も出なかった。,外のあまりの暑さに、一歩も出かけたくなくなった。,外の___暑さに、一歩も出かけたくなくなった。,A,あまりの,Đáp án đúng. Cấu trúc 'あまりの + N + に/で' diễn tả nguyên nhân cực đoan: 'Vì cái gì đó quá mức... mà dẫn đến kết quả'.,あまりに,"Sai cấu trúc. 'あまりに' là một phó từ, không thể đứng trước danh từ nối bằng trợ từ 'の' trong cụm này.",あんまり,Sai cấu trúc. 'あんまり' không đi với hình thức 'あんまりの' để tạo thành cụm danh từ chỉ nguyên nhân như '残留の'.,とても,Sai ngữ pháp. Không có cấu trúc 'とても + の + Danh từ' trong tiếng Nhật.,非常に,"Sai ngữ pháp. '非常に' là phó từ, không kết hợp với trợ từ 'の' để bổ nghĩa danh từ theo cấu trúc nguyên nhân cực đoan này.",どんなに,"Sai ý nghĩa. 'どんなに' dùng trong câu cảm thán hoặc đi với '～ても' (dù thế nào đi nữa), không dùng chỉ nguyên nhân trực tiếp.",こんなに,"Sai cấu trúc. 'こんなに' nghĩa là 'như thế này', là phó từ và không đi kèm với 'の' trong cấu trúc nguyên nhân kết quả cực đoan.",そんなに,"Sai ngữ pháp. 'そんなに' là phó từ (đến mức như thế), thường đi với phủ định hoặc câu cảm thán, không kết hợp với 'の'."
あまり,あまりに（も）～と　あんまり（にも）～と,,①あまりボリュームを上げると隣の人が文句を言いに来るから気をつけてね。,あまりに夜遅くにお風呂に入ると、家族に迷惑がかかるよ。,___夜遅くにお風呂に入ると、家族に迷惑がかかるよ。,A,あまりに,Đáp án đúng. 'あまりに... と' chỉ điều kiện giả định: Nếu làm gì đó quá mức thì sẽ mang lại kết quả phiền toái cho người khác.,あんまり,"Sai sắc thái. 'あんまり' đứng một mình độc lập thường đòi hỏi đi với phủ định, dạng khẳng định đi với giả định yêu cầu 'あまりに'.",ぜんぜん,"Sai ngữ pháp. 'ぜんぜん' yêu cầu vị ngữ ở dạng phủ định, không đi với câu khẳng định chứa 'と'.",決して,"Sai ngữ pháp. '決して' nghĩa là 'tuyệt đối không', luôn đi với thể phủ định.",めったに,"Sai ngữ pháp. 'めったに' nghĩa là 'hiếm khi', bắt buộc đi kèm với vị ngữ ở thể phủ định.",おそらく,"Sai ý nghĩa. 'おそらく' nghĩa là 'có lẽ', dùng để phỏng đoán, không đi với câu giả định hệ quả '～と' ở đây.",たしか,"Sai ý nghĩa. 'たしか' nghĩa là 'chắc là/hình như là', dùng để xác nhận thông tin quá khứ hoặc phỏng đoán, không hợp ở đây.",必ず,"Sai ý nghĩa. '必ず' nghĩa là 'nhất định', biểu thị một kết quả tất yếu xảy ra, không bổ nghĩa cho hành động 'quá mức' ở vế giả định."
あまり,～あまり（に）Nのあまり（に）　V－るあまり（に）,,①母は悲しみのあまり、病の床に就いてしまった。,ゲームに熱中するあまり、お母さんに呼ばれたのに気づかなかった。,ゲームに熱中する___、お母さんに呼ばれたのに気づかなかった。,A,あまり,"Đáp án đúng. Cấu trúc 'V-る + あまり' nghĩa là 'vì quá... nên kết quả là...', biểu thị hành vi/trạng thái quá đà dẫn đến hệ quả không tốt.",あたり,"Sai từ vựng. 'あたり' nghĩa là 'xung quanh' hoặc 'mỗi', hoàn toàn không có nghĩa chỉ nguyên nhân quá mức.",ついでに,"Sai ý nghĩa. 'ついでに' nghĩa là 'nhân tiện', dùng khi thực hiện một hành động khác cùng lúc có chủ ý.",かわりに,"Sai ý nghĩa. 'かわりに' nghĩa là 'thay vì/thay cho', không phù hợp với mối quan hệ nguyên nhân kết quả cực đoan ở đây.",うちに,"Sai sắc thái. 'うちに' chỉ khoảng thời gian tranh thủ làm gì, không làm nổi bật tính chất 'vì quá mức' dẫn đến mất chú ý.",たびに,"Sai ý nghĩa. 'たびに' nghĩa là 'mỗi lần', không hợp với việc chia động từ thể từ điển tạo kết quả bất ngờ này.",ほどに,"Sai cấu trúc. 'ほどに' nghĩa là 'đến mức', nhưng không đi trực tiếp với thể từ điển để diễn tả hệ quả tiêu cực do quá đà như あまり.",ように,"Sai ý nghĩa. 'ように' chỉ mục đích (để mà) hoặc yêu cầu, không dùng chỉ nguyên nhân."
あまり,数量詞＋あまり,,①その会の出席者は100名あまりだった。,祖父の家には、もう20年あまり使っている古い時計がある。,祖父の家には、もう20年___使っている古い時計がある。,A,あまり,"Đáp án đúng. 'Số lượng từ + あまり' nghĩa là 'hơn... một chút/ngoài...', dùng để ước lượng số lượng vượt mức nhẹ.",ごろ,"Sai ngữ pháp. 'ごろ' chỉ mốc thời gian khoảng (ví dụ: 5時ごろ), không đi sau khoảng thời gian kéo dài như '20年'.",くらい,"Sai sắc thái. 'くらい' nghĩa là 'khoảng/xấp xỉ', có thể ít hơn hoặc nhiều hơn, không mang nghĩa chính xác là 'hơn một chút' như あまり.",だけ,"Sai ý nghĩa. 'だけ' nghĩa là 'chỉ', mang ý nghĩa giới hạn, trái ngược với việc chỉ số lượng vượt mức.",ほど,"Sai ngữ pháp. 'ほど' biểu thị khoảng ước lượng và thường mang tính trang trọng, nhưng không mang nghĩa 'hơn' (vượt mốc) như あまり.",まで,"Sai ý nghĩa. 'まで' nghĩa là 'đến tận/cho đến', không dùng để chỉ số lượng lẻ ước lượng đứng sau lượng từ.",から,"Sai ngữ pháp. 'から' nghĩa là 'từ', không đứng độc lập sau số lượng từ để chỉ ý nghĩa 'hơn'.",あとに,"Sai ý nghĩa. 'あとに' nghĩa là 'sau đó', chỉ thứ tự thời gian hành động, không dùng bổ nghĩa lượng từ."
あらためる,R－あらためる,,①この文章の内容を子供向けに書き改めてくださいませんか。,友達への手紙の敬語が変だったので、書き改めました。,友達への手紙の敬語が変だったので、書き___ました。,A,改め,Đáp án đúng. Cấu trúc 'V-stem + 改める' có nghĩa là 'làm lại hành động đó một cách cẩn thận để sửa đổi/cải thiện'.,終わり,"Sai ý nghĩa. 'V-stem + 終わる' nghĩa là 'viết xong', không thể hiện được hành động sửa lỗi sai kính ngữ.",始め,"Sai ý nghĩa. 'V-stem + 始める' nghĩa là 'bắt đầu viết', không phù hợp với ngữ cảnh đã nhận ra lỗi sai và viết lại.",過ぎ,"Sai ý nghĩa. 'V-stem + 過ぎる' nghĩa là 'viết quá nhiều', không liên quan đến việc sửa lỗi.",損ね,"Sai ý nghĩa. 'V-stem + 損ねる' nghĩa là 'lỡ/hụt mất việc viết gì đó', không đúng ngữ cảnh.",忘れ,"Sai ý nghĩa. 'V-stem + 忘れる' nghĩa là 'quên viết', mâu thuẫn với việc bức thư đã có sẵn kính ngữ bị biến đổi.",続け,"Sai ý nghĩa. 'V-stem + 続ける' nghĩa là 'tiếp tục viết', không mang nghĩa sửa chữa lỗi sai.",出し,"Sai ý nghĩa. 'V-stem + 出す' nghĩa là 'bắt đầu viết ra/đột nhiên viết', không hợp ngữ cảnh."
あるいは,N（か）あるいはN,,①黒あるいは青のペンで記入してください。,今週末のパーティーには、ワインあるいはビールを持ってきてください。,今週末のパーティーには、ワイン___ビールを持ってきてください。,A,あるいは,Đáp án đúng. Liên từ 'あるいは' dùng để nối hai danh từ biểu thị sự lựa chọn 'hoặc là một trong hai'.,それから,"Sai ý nghĩa. 'それから' nghĩa là 'và sau đó/thêm nữa', mang tính liệt kê đồng thời hoặc tiếp diễn chứ không phải lựa chọn.",だから,"Sai ý nghĩa. 'だから' là liên từ chỉ nguyên nhân kết quả (vì vậy), không có chức năng nối danh từ lựa chọn.",しかし,"Sai ý nghĩa. 'しかし' mang nghĩa tương phản (tuy nhiên), không thể dùng để kết nối hai đồ vật mang đi.",つまり,"Sai ý nghĩa. 'つまり' nghĩa là 'tóm lại/nói cách khác', dùng để giải thích đồng nghĩa, không phải lựa chọn.",例えば,"Sai ý nghĩa. '例えば' dùng để đưa ra ví dụ (ví dụ như), không có chức năng nối hai danh từ lựa chọn loại trừ.",なぜなら,"Sai ý nghĩa. 'なぜなら' dùng để giải thích nguyên nhân ở đầu vế câu mới, không đứng giữa hai danh từ.",ただし,"Sai ý nghĩa. 'ただし' dùng để đưa ra điều kiện kèm theo ở mệnh đề sau, không dùng nối hai danh từ lựa chọn."
あるいは,～か、あるいは,,①申し込み書類は、郵送するかあるいは事務所まで持参してください。,明日の予定は、家で映画を見るか、あるいは友達とカフェに行くかどちらかです。,明日の予定は、家で映画を見るか、___友達とカフェに行くかどちらかです。,A,あるいは,Đáp án đúng. Cấu trúc '~か、あるいは' dùng để liên kết hai mệnh đề giả định nhằm đưa ra các phương án lựa chọn thay thế.,だから,"Sai ý nghĩa. 'だから' nghĩa là 'vì thế', chỉ quan hệ nguyên nhân kết quả, không hợp với cấu trúc lựa chọn '~か'.",けれども,"Sai ý nghĩa. 'けれども' nghĩa là 'tuy nhiên', chỉ quan hệ nghịch lý, không dùng trong trường hợp đưa ra phương án lựa chọn.",つまり,"Sai ý nghĩa. 'つまり' nghĩa là 'tóm lại', dùng để đồng nghĩa hóa hoặc tóm lược thông tin vế trước.",そのうえ,"Sai ý nghĩa. 'そのうえ' dùng để bổ sung thông tin tăng tiến, không dùng để loại trừ lựa chọn.",したがって,"Sai ý nghĩa. 'したがって' là từ nối trang trọng chỉ kết quả logic (do đó), không phù hợp ở đây.",なぜなら,"Sai ý nghĩa. 'なぜなら' dùng để mở đầu câu giải thích nguyên nhân, hoàn toàn sai cấu trúc lựa chọn.",ただし,"Sai ý nghĩa. 'ただし' dùng để thêm điều kiện loại trừ hoặc lưu ý, không dùng song hành cùng từ lựa chọn '~か'."
あるいは,あるいは～かもしれない,,①このぶんでは、明日はあるいは雪かもしれない。,彼は最近連絡が取れないが、あるいはもう新しいスマホに買い替えたのかもしれない。,彼は最近連絡が取れないが、___もう新しいスマホに買い替えたのかもしれない。,A,あるいは,Đáp án đúng. Phó từ 'あるいは' đi kèm với cấu trúc '～かもしれない' ở cuối câu để đưa ra một giả thuyết hoặc phỏng đoán có khả năng xảy ra.,まさか,"Sai ý nghĩa. 'まさか' diễn tả sự hoài nghi cực lớn (không đời nào), thường đi với câu phủ định hoặc thể nghi vấn, không đi với かもしれない.",決して,"Sai ngữ pháp. '決して' nghĩa là 'tuyệt đối không', bắt buộc phải đi kèm vị ngữ ở dạng phủ định '～ない'.",必ず,"Sai ý nghĩa. 'Nhất định' khẳng định độ chắc chắn 100%, mâu thuẫn với đuôi phỏng đoán mơ hồ 'かもしれない'.",めったに,"Sai ngữ pháp. 'めったに' nghĩa là 'hiếm khi', luôn đi kèm với động từ ở thể phủ định.",全然,"Sai ngữ pháp. '全然' nghĩa là 'hoàn toàn không', bắt buộc phải đi kèm vị ngữ ở dạng phủ định.",一体,"Sai ý nghĩa. '一体' mang nghĩa 'rốt cuộc là', dùng để nhấn mạnh trong câu hỏi nghi vấn, không đi với câu phỏng đoán.",どうしても,"Sai ý nghĩa. 'どうしても' biểu thị quyết tâm hoặc một kết quả không thể tránh khỏi, không hợp sắc thái phỏng đoán."
あるいは,あるいは～あるいは,,①高校を卒業した学生たちは、あるいは進学し、あるいは就職し、それぞれの進路を歩み始める。,休日の公園では、あるいは犬の散歩をし、あるいはベンチで本を読み、人々が自由に過ごしている。,休日の公園では、___犬の散歩をし、あるいはベンチで本を読み、人々が自由に過ごしている。,A,あるいは,"Đáp án đúng. Cấu trúc song hành 'あるいは～、あるいは～' dùng để liệt kê các trường hợp, hành động tương đương (người thì làm thế này, người thì làm thế kia).",それから,"Sai cấu trúc. 'それから' dùng để nối chuỗi hành động tiếp diễn, không tạo thành cặp cấu trúc đối xứng song song với 'あるいは' ở vế sau.",または,"Sai cấu trúc. Mặc dù 'または' cũng nghĩa là hoặc là, nhưng không dùng lặp theo cặp đối xứng song hành kiểu 'または～あるいは～' trong văn phong này.",だから,"Sai ý nghĩa. 'だから' chỉ nguyên nhân kết quả, làm mất đi tính chất liệt kê song hành của câu.",まず,"Sai cấu trúc. 'まず' nghĩa là 'trước tiên', dùng cho thứ tự thời gian hành động, không đi cặp song hành với 'あるいは'.",つまり,"Sai ý nghĩa. 'つまり' dùng để giải thích rõ nghĩa, hoàn toàn sai chức năng liệt kê trạng thái.",たとえば,Sai cấu trúc. 'たとえば' không kết hợp tạo thành cấu trúc liệt kê song song đối xứng tương thích với vế sau.,しかし,"Sai ý nghĩa. 'しかし' biểu thị sự tương phản, phá vỡ tính đồng đẳng liệt kê của cấu trúc."
あるまじき～だ,NにあるまじきNだ,,①業者から金品を受け取るなど公務員にあるまじきことだ。,子供の前で大喧嘩をするなんて、親にあるまじき行為だ。,子供の前で大喧嘩をするなんて、親___行為だ。,A,にあるまじき,Đáp án đúng. Cấu trúc 'N1 + にあるまじき + N2' dùng để phê phán nghiêm khắc hành vi N2 là không thể chấp nhận được đối với thân phận/địa vị N1.,に応じた,"Sai ý nghĩa. 'に応じた' nghĩa là 'ứng với / phù hợp với', hoàn toàn ngược lại với ý phê phán hành vi xấu.",に関する,"Sai ý nghĩa. 'に関する' nghĩa là 'liên quan đến', chỉ mang tính chất mô tả thông thường, không thể hiện thái độ chỉ trích.",にそった,"Sai ý nghĩa. 'にそった' nghĩa là 'dọc theo / tuân theo', thường dùng cho hướng đi hoặc kế hoạch, không phù hợp ở đây.",にそぐわない,"Sai cấu trúc và ý nghĩa. 'にそぐわない' nghĩa là 'không phù hợp với', nhưng là một cụm vị ngữ độc lập, không dùng bổ nghĩa trực tiếp cho danh từ theo sắc thái lên án mạnh mẽ.",にすぎない,"Sai ý nghĩa. 'にすぎない' nghĩa là 'chỉ là... không hơn', dùng ở cuối câu để giảm nhẹ tính chất, không dùng làm bổ ngữ phê phán.",にともなう,"Sai ý nghĩa. 'にともなう' nghĩa là 'kéo theo / đi kèm với', dùng chỉ hệ quả tự nhiên hoặc sự kiện đi đôi.",に反する,"Sai ngữ pháp. 'に反する' nghĩa là 'trái với', nếu muốn dùng bổ nghĩa phải đi kèm danh từ trừu tượng như '親の義務に反する行為' chứ không đi trực tiếp với danh từ chỉ người."
