Grammar,Usage,JLPT Level,Reference Example,Original Example,Prefix,Chunk1,Chunk2,Chunk3,Chunk4,Suffix,Explanation
それにしても,,N3,①A：予選ではあんなに強かったのにどうして決勝で負けたんでしょうね。B：プレッシャーでしょう。A：それにしてもひどい負け方ですね。,今期の売上が多少落ちることは予想していましたが、それにしてもこのような急激な減少は深刻すぎる状況です。,今期の売上が多少落ちることは予想していましたが、それにしても,このような,急激な,減少は,深刻すぎる,状況です。,"""それにしても"" (dẫu vậy/cho dù là thế đi nữa) dùng để nhấn mạnh cảm xúc ngạc nhiên hoặc mức độ nghiêm trọng vượt quá mức chấp nhận được của người nói trong kinh doanh. Cụm từ tiếp theo dùng các tính từ bổ nghĩa ""このような"" (như thế này) và ""急激な"" (đột ngột) để làm rõ mức độ của chủ ngữ ""減少は"" (sự sụt giảm). Kết câu bằng tính từ trạng thái cực đoan ""深刻すぎる"" (quá nghiêm trọng) đi với danh từ kết luận ""状況です"" (tình hình)."
それはそうと,,N3,①A：先生、レポートのしめきりはいつですか。B：七月未だよ。それはそうと明日の演習の発表はだれだったかな。,進捗のご報告をいただきありがとうございました。それはそうと、明日の重要なプレゼンの資料はもう完成いたしましたか。,進捗のご報告をいただきありがとうございました。それはそうと、,明日の,重要なプレゼンの,資料はもう,完成いたし,ましたか。,"""それはそうと"" là liên từ dùng để chuyển sang một đề tài khác hoàn toàn mới trong giao tiếp công sở. Sau khi chuyển chủ đề, câu xác định mốc thời gian và đối tượng bằng cụm danh từ ""明日の重要なプレゼンの資料は"" (tài liệu buổi thuyết trình quan trọng ngày mai). Trạng từ ""もう"" (đã... chưa) đứng trước động từ thể kính ngữ khiêm nhường ""完成いたしましたか"" (đã hoàn thành chưa) để hỏi đối phương một cách lịch sự."
それはそれでいい,,N2,①事故の責任は取ったというなら、それはそれでいい。しかし今後の補償をちゃんとしてくれなくては困る。,今回の提案が予算内に収まるならそれはそれでいいですが、納期のスケジュールに無理がないかを再確認する必要があります。,今回の提案が予算内に収まるならそれはそれでいいですが、,納期の,スケジュールに,無理がないかを,再確認する,必要があります。,"Cấu trúc ""それはそれでいい"" (cái đó cũng được/như vậy cũng tốt rồi) thừa nhận một khía cạnh tích cực (vừa ngân sách) nhưng ngay sau đó là ""sự đối lập"" để lật lại vấn đề cần lưu ý khác. Tiếp theo, cụm ""納期のスケジュールに無理がないか"" (lịch trình giao hàng có quá sức không) đóng vai trò là một mệnh đề nghi vấn lồng làm tân ngữ cho ngoại động từ ""再確認する"" (xác nhận lại), kết thúc bằng cấu trúc chỉ sự bắt buộc ""必要があります"" (cần phải)."
それはそれとして,,N3,①万引が問題なのはわかります。しかしそれはそれとして、もう少し広く青少年をとりまく社会環境について話し合いたいと思います。,不具合の原因についての報告は分かりました。しかしそれはそれとして、来週からのプロモーション活動をどう進めるべきか検討を加えましょう。,不具合の原因についての報告は分かりました。しかしそれはそれとして、,来週からの,プロモーション活動を,どう進めるべきか,検討を,加えましょう。,"""それはそれとして"" (chuyện đó tạm gác lại/đó là chuyện khác) dùng để phân tách vấn đề trước (báo cáo lỗi) và chuyển sự tập trung sang một việc cấp bách khác trong công ty. Câu tiếp theo định vị thời gian ""来週からの"" (từ tuần tới) bổ nghĩa cho tân ngữ ""プロモーション活動を"" (hoạt động quảng bá). Mệnh đề nghi vấn ""どう進めるべきか"" (nên tiến hành thế nào) bổ nghĩa cho hành động ""検討を加えましょう"" (hãy cùng đưa ra xem xét/thảo luận)."
それほど,,N4,①それほど好きならあきらめずにやりなさい。,お客様がそれほど怒っていらっしゃるようでしたら、すぐに上司と伺います。,お客様がそれほど,怒って,いらっしゃる,ようでしたら、,すぐに上司と,伺います。,"""それほど"" là phó từ chỉ mức độ (đến mức như thế), bổ nghĩa trực tiếp cho trạng thái ""怒っていらっしゃる"" (đang giận - kính ngữ của 怒っている). Tiếp theo, cấu trúc giả định ""ようでしたら"" (nếu có vẻ như là) tạo điều kiện cho hành động ở vế sau. Trạng từ ""すぐに"" (ngay lập tức) đi kèm với đối tượng cùng thực hiện ""上司と"" (cùng với cấp trên) dẫn đến động từ kết thúc câu mang tính giải quyết ""伺います"" (sẽ đến gặp/thăm)."
それまでだ,,N2,①人間、死んでしまえばそれまでだ。生きているうちにやりたいことをやろう。,どんなに革新的なシステムを開発しても、セキュリティに問題があって情報漏洩を起こしてしまえばそれまでだ。,どんなに革新的なシステムを開発しても、セキュリティに,問題があって,情報漏洩を,起こして,しまえば,それまでだ。,"Cấu trúc ""それまでだ"" nghĩa là ""coi như xong/tất cả kết thúc/vô nghĩa"", đặt ở cuối câu để khẳng định hậu quả tối tăm không thể cứu vãn. Trước đó là vế điều kiện ""～れば"" biểu thị giả định nguy cơ: chủ ngữ phụ ""セキュリティに問題があって"" (có vấn đề về bảo mật) dẫn đến việc lỗi lầm nghiêm trọng ""情報漏洩を起こしてしまえば"" (nếu lỡ làm rò rỉ thông tin) xảy ra, biến mọi công sức phát triển trước đó thành vô ích."
それゆえ,,N1,①彼は自分の能力を過信していた。それゆえに人の忠告を開かず失敗した。,当社は信頼関係を何よりも重んじております。それゆえ、今回のような報告の遅延は極めて遺憾であり、厳重に注意いたします。,当社は信頼関係を何よりも重んじております。それゆえ、,今回のような,報告の遅延は,極めて遺憾であり、,厳重に注意いたし,ます。,"""それゆえ"" (chính vì thế/do đó) là văn viết trang trọng bậc nhất (N1), dùng làm liên từ chỉ kết quả logic khách quan từ nguyên nhân vế trước (coi trọng sự tin cậy). Tiếp theo, cụm ""今回のような報告の遅延は"" (việc chậm trễ báo cáo như lần này) đóng vai trò chủ ngữ ngữ cảnh. Đoạn tiếp theo ""極めて遺憾であり"" (hết sức đáng tiếc - thể lịch sự của văn viết) chỉ tính chất nghiêm trọng, dẫn đến hành động kỷ luật ở cuối câu sử dụng khiêm nhường ngữ ""厳重に注意いたします"" (xin cảnh cáo nghiêm khắc)."
それを,,N1,①あれほど考え直すように言ったのに君は会社をやめた。それを今になってもう一度雇ってくれだなんて、いったい何を考えてるんだ。,本番サーバーの設定変更は必ず申請が必要だと周知していたはずです。それを、事前の連絡もなしに独断で変更してトラブルを起こすとは何事ですか。,本番サーバーの設定変更は必ず申請が必要だと周知していたはずです。それを、,事前の,連絡もなしに,独断で,変更してトラブルを,起こすとは何事ですか。,"Cấu trúc ""それを"" (vậy mà/thế mà) dùng ở đầu câu để diễn tả sự trách móc, phê bình gay gắt của cấp trên trước một hành động sai trái của cấp dưới bất chấp quy định trước đó. Cụm bổ nghĩa ""事前の連絡もなしに"" (không cả liên lạc trước) phối hợp với trạng từ ""独断で"" (tự ý/độc đoán) làm rõ tính chất sai phạm của hành vi ""変更してトラブルを起こすとは"" (thực hiện thay đổi và gây ra rắc rối), kết thúc bằng câu hỏi khiển trách nặng nề ""何事ですか"" (là chuyện gì thế hả/sao có thể như thế)."
たい,R－たい,N5,①ああ、暑い。なにか冷たいものが飲みたい。,今期のお取引条件について、部長と直接お会いしてお話したいです。,今期のお取引条件について、,部長と,直接,お会いして,お話し,たいです。,"Mẫu câu thể hiện nguyện vọng căn bản ""～たい"" (muốn làm gì) ở trình độ N5 kết hợp với bối cảnh kinh doanh cơ bản. Câu xác định đối tượng giao tiếp ""部長と"" (với trưởng phòng) đi cùng trạng từ ""直接"" (trực tiếp). Động từ nối tiếp ""お会いして"" (gặp gỡ và...) dẫn đến động từ chính dạng kính ngữ nhẹ nhàng ""お話ししたいです"" (muốn nói chuyện) nhằm truyền đạt mong muốn của bản thân một cách lịch sự, vừa vặn với cấu trúc N5 nâng cao trong công sở."
たい,R－たいんですが,N5,①A：住民登録について聞きたいんですが、何番の窓口でしょうか。B：3番ヘどうぞ。,先日発注いたしました製品の納期について確認したいんですが、ご担当の方はいらっしゃいますか。,先日発注いたしました製品の納期について,確認,したいん,ですが、,ご担当の,方はいらっしゃいますか。,"Thể ""～たいんですが"" (tôi muốn... nhưng mà...) dùng để mở lời, tạo bước đệm lịch sự trước khi đưa ra câu hỏi hoặc yêu cầu trong môi trường công sở. Đầu tiên là mục đích hành động ""確認"" (xác nhận) đi liền với cấu trúc mong muốn nói giảm nói tránh ""したいんですが"" (tôi muốn xác nhận nhưng...). Vế sau tiếp tục bằng việc hỏi tìm người chịu trách nhiệm qua danh từ tôn kính ""ご担当の方"" (người phụ trách) kết hợp với động từ tôn kính ngữ ""いらっしゃいますか"" (có ở đó không)."
